id	word	keep	category	severity	lemma
1	@$$	remove	sexualpractice	mild	ass
2	2g1c	remove	sexualpractice	mild	other
3	ahole	keep	bodypart	strong	ass
4	arschloch	remove	bodypart	mild	ass
5	arse	keep	bodypart	strong	arse
6	arsehole	keep	bodypart	strong	arse
7	arseholes	keep	bodypart	strong	arse
8	ash0le	keep	bodypart	strong	ass
9	ash0les	keep	bodypart	strong	ass
10	asholes	keep	bodypart	strong	ass
11	ass	remove	bodypart	mild	ass
12	asses	keep	bodypart	strong	ass
13	assface	keep	bodypart	strong	ass
14	assh0le	keep	bodypart	strong	ass
15	assh0lez	keep	bodypart	strong	ass
16	asshole	keep	bodypart	strong	ass
17	assholes	keep	bodypart	strong	ass
18	assholz	keep	bodypart	strong	ass
19	assmunch	keep	sexualpractice	strong	ass
20	assrammer	keep	sexualorientation	strong	ass
21	asswipe	keep	object	strong	ass
22	azzhole	keep	bodypart	strong	ass
23	b!+ch	remove	sexualpractice	mild	bitch
24	b!tch	remove	sexualpractice	mild	bitch
25	b00b	keep	bodypart	mild	boob
26	b00bs	keep	bodypart	strong	boob
27	b17ch	keep	sexualperson	strong	bitch
28	b1tch	keep	sexualperson	strong	bitch
29	balls	remove	bodypart	mild	balls
30	ballsack	remove	bodypart	mild	balls
31	barenaked	remove	sexualpractice	mild	
32	bassterds	keep	sexualperson	medium	bastard
33	bastard	keep	sexualperson	medium	bastard
34	bastardo	remove	sexualpractice	mild	bastard
35	bastards	keep	sexualperson	medium	bastard
36	bastardz	keep	sexualperson	medium	bastard
37	basterds	keep	sexualperson	medium	bastard
38	basterdz	keep	sexualperson	medium	bastard
39	bastinado	remove	sexualpractice	mild	bastard
40	bi+ch	remove	sexualpractice	mild	bitch
41	bi7ch	keep	sexualperson	strong	bitch
42	biatch	keep	sexualperson	strong	bitch
43	bimbos	remove	sexualpractice	mild	
44	bitch	keep	sexualperson	strong	bitch
45	bitches	keep	sexualperson	strong	bitch
46	bitching	keep	sexualperson	strong	bitch
47	bloody	remove	sexualpractice	mild	bloody
48	blowjob	remove	sexualpractice	mild	
49	blumpkin	keep	sexualpractice	mild	other
50	boffing	remove	sexualpractice	mild	
51	boiolas	remove	sexualpractice	mild	
52	bollicks	keep	bodypart	mild	bollocks
53	bollix	keep	bodypart	mild	bollocks
54	bollock	keep	bodypart	mild	bollocks
55	bollocks	keep	bodypart	mild	bollocks
56	bollok	keep	bodypart	mild	bollocks
57	boner	keep	bodypart	mild	boner
58	boob	keep	bodypart	mild	boob
59	boobs	keep	bodypart	mild	boob
60	breasts	remove	bodypart	mild	boob
61	buceta	remove	sexualpractice	mild	
62	bugger	keep	sexualpractice	mild	bugger
63	buggered	keep	sexualpractice	mild	bugger
64	buggering	keep	sexualpractice	mild	bugger
65	buggers	keep	sexualpractice	mild	bugger
66	bukkake	remove	sexualpractice	mild	
67	bulldyke	keep	sexualorientation	strong	dyke
68	bullshit	keep	secretion	mild	shit
69	bullshited	keep	secretion	mild	shit
70	bullshiting	keep	secretion	mild	shit
71	bullshits	keep	secretion	mild	shit
72	bullshitted	keep	secretion	mild	shit
73	bullshitting	keep	secretion	mild	shit
74	bum	remove	bodypart	mild	ass
75	bunghole	keep	bodypart	mild	ass
76	busty	remove	sexualpractice	mild	
77	butt-pirate	keep	sexualorientation	mild	butt
78	butthole	keep	bodypart	mild	butt
79	buttplug	keep	sexualobject	mild	butt
80	buttwipe	keep	sexualobject	mild	butt
81	c0ck	keep	bodypart	strong	cock
82	c0cks	keep	bodypart	strong	cock
83	c0k	keep	bodypart	strong	cock
84	cabron	remove	sexualpractice	mild	
85	camslut	keep	sexualperson	strong	slut
86	camwhore	keep	sexualperson	strong	whore
87	carpetmuncher	keep	sexualorientation	mild	other
88	cawk	remove	sexualpractice	mild	
89	cawks	remove	sexualpractice	mild	
90	cazzo	remove	sexualpractice	mild	
91	chink	keep	racialslur	strong	chink
92	chinks	keep	racialslur	strong	chink
93	chraa	remove	sexualpractice	mild	
94	chuj	remove	sexualpractice	mild	
95	cipa	remove	sexualpractice	mild	
96	circlejerk	keep	sexualperson	mild	jerk
97	clusterfuck	keep	sexualact	strong	fuck
98	cnts	keep	bodypart	extreme	cunt
99	cntz	keep	bodypart	extreme	cunt
100	cock	keep	bodypart	strong	cock
101	cock-head	keep	bodypart	strong	cock
102	cock-sucker	keep	sexualorientation	strong	cock
103	cockhead	keep	bodypart	strong	cock
104	cocks	keep	bodypart	strong	cock
105	cocksucka	keep	sexualorientation	strong	cock
106	cocksucker	keep	sexualorientation	strong	cock
107	cocksuckers	keep	sexualorientation	strong	cock
108	coon	remove	sexualpractice	mild	
109	coprolagnia	remove	sexualpractice	mild	
110	cornhole	keep	bodypart	mild	other
111	crap	keep	secretion	mild	crap
112	crapped	keep	secretion	mild	crap
113	crapping	keep	secretion	mild	crap
